Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2533.947998,2576.055908,2532.895996,2575.413086,2575.312988,18339300
2010-01-05,2575.616943,2606.069092,2575.616943,2605.277100,2605.175537,57043800
2010-01-06,2605.480957,2622.115967,2587.709961,2603.297119,2603.195557,51569100
2010-01-07,2603.500977,2611.603027,2570.272949,2586.895020,2586.794189,45510800
2010-01-08,2586.792969,2614.535889,2583.846924,2614.370117,2614.268311,73723500
2010-01-11,2615.607910,2649.197021,2615.607910,2632.204102,2632.101563,52891200
2010-01-12,2632.305908,2659.976074,2623.773926,2659.551025,2659.447266,57497400
2010-01-13,2657.903076,2657.903076,2623.460938,2632.872070,2632.769531,42685500
2010-01-14,2633.582031,2661.927979,2633.582031,2645.180908,2645.077881,53126200
2010-01-15,2646.752930,2655.805908,2638.355957,2647.090088,2646.987061,47643800
2010-01-18,2645.441895,2648.924072,2629.907959,2642.548096,2642.445068,30861500
2010-01-19,2642.354004,2666.572998,2640.177979,2666.071045,2665.967285,32768000
2010-01-20,2666.577881,2689.774902,2655.000000,2667.266113,2667.162354,36995600
2010-01-21,2664.658936,2664.658936,2621.360107,2638.382080,2638.279541,32438400
2010-01-22,2636.961914,2636.961914,2580.167969,2610.340088,2610.238525,36693100
2010-01-25,2609.730957,2609.730957,2575.962891,2597.860107,2597.759033,33669400
2010-01-26,2597.353027,2608.739990,2568.948975,2578.415039,2578.314697,42143000
2010-01-27,2577.907959,2594.246094,2554.882080,2564.553955,2564.454346,26010100
2010-01-28,2565.377930,2619.978027,2565.377930,2619.564941,2619.463135,33551500
2010-01-29,2619.260986,2619.260986,2569.266113,2610.795898,2610.694336,21712000
2010-02-01,2610.593018,2610.593018,2571.759033,2587.549072,2587.448242,32319600
2010-02-02,2588.259033,2613.673096,2574.110107,2580.250977,2580.150635,30633100
2010-02-03,2580.656006,2606.282959,2580.656006,2604.549072,2604.447510,38272000
2010-02-04,2604.751953,2610.367920,2589.054932,2593.219971,2593.119141,38026400
2010-02-05,2592.408936,2592.408936,2506.888916,2518.976074,2518.878174,34842900
2010-02-08,2518.606934,2518.606934,2431.837891,2475.572021,2475.475586,36850700
2010-02-09,2474.750000,2490.108887,2439.909912,2489.485107,2489.388428,32704700
2010-02-10,2490.292969,2511.735107,2474.400879,2483.437988,2483.341309,26501600
